,X_draw_graph_fa-0,X_draw_graph_fa-1
cell_2467,188.73291347275125,14161.03358974985
cell_274,-6176.388642324851,12033.037488093056
cell_2580,2052.8258296125714,11519.329075901778
cell_144,-5935.957192188381,11423.685598203596
cell_1521,2183.1642439342845,9713.807104448422
cell_2159,1195.601769725804,13751.294830082505
cell_2150,1096.2190857034839,14374.117540950248
cell_2025,685.0360593228775,14774.706429846718
cell_1681,1754.2491619328841,11722.31751628944
cell_1620,3013.276109876739,7572.032811386992
cell_2242,-1346.2888963793457,11678.545900222707
cell_2187,2298.1885167186015,12634.210958748066
cell_1868,-501.20679485961745,13067.163895718457
cell_2221,3371.5341139158477,10235.997321171732
cell_344,-2050.773030155916,11100.445213355437
cell_312,-6127.428749600462,11990.621339832398
cell_2378,1602.6714951457445,12312.701805664294
cell_2082,-955.4395335313577,13223.543687594254
cell_206,-6080.830368642186,11874.713046298588
cell_1907,1227.2839194722724,13986.513823555762
cell_321,-3151.076057957054,9448.322093993287
cell_1634,1233.252843275159,-40440.55869353183
cell_2210,1636.0695241560006,11901.229153946186
cell_2347,2396.265358409729,12414.107931122448
cell_2536,513.6463277246941,14316.56978533882
cell_1887,1102.8243194215463,13524.196265601826
cell_2379,2834.9866370997274,11829.238842503137
cell_2602,2127.0819796091823,11802.90484171107
cell_1930,723.1974834502095,14504.325981458856
cell_149,386.4344867885044,6667.017965038996
cell_192,-5139.565233198589,10675.787407541073
cell_1553,2852.0012962357837,13728.026012530212
cell_2261,430.83116874114273,14694.953979290962
cell_198,1606.5231666530588,-37678.795216981176
cell_246,-3700.366691836877,12121.344467961706
cell_1573,-857.5291881793286,13528.878085823617
cell_1512,3884.0628856736494,9078.407146570711
cell_58,-2408.5993238026367,-35781.79941014194
cell_1667,2502.002771874785,12941.89609987937
cell_299,1916.1190573738731,5684.971192823823
cell_183,-3258.463953925339,-28110.908575445468
cell_2103,499.70054080480975,13013.332568113037
cell_1943,-702.6604013767175,15513.862565952659
cell_1531,2364.698073924327,15179.45352496642
cell_2287,-662.6979274049314,12323.449250332375
cell_83,-2471.0721439860686,-32318.946654705458
cell_1946,-35.5938453860219,13602.384893205368
cell_2551,2855.4357139820145,9776.017661169271
cell_21,-4900.944688011899,9697.23855169655
cell_1505,685.0346200234966,12211.62785200005
cell_154,-5920.163983552611,12066.354634019575
cell_1534,1673.949642625549,13102.10628505077
cell_1601,971.9000168400498,13729.893744698536
cell_1580,-273.17542544315967,12656.34109358774
cell_2350,1916.1213144317478,10743.261630081473
cell_2365,2481.1543109674435,12889.579413659518
cell_1826,-934.4926537221037,14086.643987168796
cell_317,-4918.371001447842,9479.734124260021
cell_2423,901.1728933765364,12600.651307618917
cell_2369,1324.073333076323,13858.286311962222
cell_1940,937.7988941293448,14452.06588802628
cell_210,-5219.6160684829465,9580.884573591566
cell_197,-5731.997094963304,11475.168540569768
cell_37,-4810.5773373834245,11521.751882101162
cell_1530,749.1175837268654,12042.37443443882
cell_1562,1315.3471399700072,12835.345464723945
cell_2066,1397.5266538065575,14477.673880872386
cell_1969,528.5572466873712,14036.984254311334
cell_2124,3719.2020201704026,8194.013719807446
cell_2228,2132.4444364358765,12297.502060440664
cell_1841,694.6588446108989,13320.894183408744
cell_2075,1040.8773981362674,14562.988791907752
cell_1824,1553.702994366441,11317.166778813411
cell_2607,560.4991236470107,14209.20253954878
cell_2457,-2609.0597185042475,-34327.83272969267
cell_2030,1267.2340659308593,13488.770658121552
cell_1812,1083.6464092157184,14121.019237285656
cell_2272,912.3082521786583,14611.903236114858
cell_87,-4651.602656043443,9891.807910336152
cell_338,-4442.696881428358,12405.579694078866
cell_2200,959.3684488709723,14539.186080604544
cell_2225,2857.0333156888996,14017.392863704006
cell_345,-5940.278843389065,11966.71173475988
cell_2562,1035.7674852650005,13542.149793268045
cell_1854,2021.3577411347408,12589.471546271348
cell_1904,814.0060361892599,13742.95226751602
cell_255,-2463.081056572247,-34042.20949113325
cell_1797,-3772.990976876087,-28676.704523564273
cell_2492,1103.6816104508646,12630.04991013626
cell_187,-1439.852237158687,8040.716025863529
cell_331,-1343.64818971995,-40307.80902616671
cell_2403,2848.1373958686513,13123.308960417131
cell_2364,2216.539525760993,14460.562497274288
cell_111,-96.66029940977177,7006.454074268976
cell_337,-2307.1996093329735,11222.551304099907
cell_1823,-2561.633746998831,-34398.91874413964
cell_2405,-1680.170005553891,-40148.889502099795
cell_320,-1714.9969231881628,9162.823700266903
cell_1584,-66.74728669213442,-40488.70241314186
cell_2606,322.3706463412561,13538.303345097118
cell_65,-4462.973016347716,11729.547173777395
cell_2323,1668.457695816459,9610.404104110055
cell_2233,2888.0312387858967,10143.167676934429
cell_1586,-1680.8501577507166,14037.07846416697
cell_202,-2933.4338128068953,8580.025304437824
cell_2550,709.4811382211382,13240.643857039082
cell_257,-4727.187361115874,9276.175167869564
cell_1688,2374.090435360687,11337.984098466197
cell_348,-1597.38986106684,-34960.60315120855
cell_1610,3760.946842686149,9810.426474276199
cell_162,-4624.673892853073,9860.496005201641
cell_273,-5067.836467920301,11356.857588682278
cell_1871,-72.63541912832208,14707.964391076775
cell_2392,-300.26471700809265,14279.49910684416
cell_1967,987.3772430592728,14636.82540640811
cell_191,-5590.593839945444,12175.939718874064
cell_2545,917.3565802866418,13030.036499252723
cell_18,-5397.032515239452,11975.685735355268
cell_2646,2083.125835264829,10876.081493023137
cell_186,-5220.769796235253,9627.22939662862
cell_354,4552.520615935269,4125.828082527736
cell_2561,1514.627082263168,13793.159119122562
cell_2100,-1912.690583800143,13848.779579711312
cell_1673,1496.832150276979,13832.185814308563
cell_2644,-470.19997683855655,12915.785814845663
cell_70,-2913.564862359963,9639.036495022323
cell_284,-3244.300162906517,-28248.58455551585
cell_167,-2953.5773813097903,-29126.73024368034
cell_1908,2401.5784248550003,11721.110758932455
cell_271,-4740.0828002127355,11586.027368298424
cell_1915,-3491.7111963797806,-27561.55548419495
cell_2622,2447.9275926225278,12025.038079055932
cell_134,-6060.062667441654,11958.869982162616
cell_281,-5113.1019722387255,9800.78358484179
cell_2177,1369.9399378723538,-39655.536687531916
cell_2037,4001.510993241013,7660.55460332158
cell_96,-2081.307680507354,-35818.70305094658
cell_1566,1309.4445587674147,12270.552556751116
cell_2495,-2854.9886926529903,-32939.64274662504
cell_129,-5618.746190826846,10875.216542050484
cell_1656,597.0571520479971,12710.654591676363
cell_2581,474.0598181673143,13913.847677902308
cell_2256,3626.3232331446275,7715.553442079679
cell_303,4639.289523656394,3936.854291581949
cell_293,-2598.386250926886,11493.953647021259
cell_1695,80.1695525279103,12795.43138725023
cell_118,-4960.251703421456,9659.477364014045
cell_2297,733.506018066435,13443.094572870003
cell_230,-5085.611676834966,11418.505757047442
cell_1484,-369.80436285178445,13574.75900797205
cell_2599,718.0833412675566,11989.637090536507
cell_49,-3292.123322465237,8488.759084256795
cell_2255,2101.162106309332,-39465.49970254759
cell_1565,2201.1165615462837,12885.639473521416
cell_2362,1176.9466252435543,12410.26426632458
cell_2427,-1999.2693770840708,13338.950568557391
cell_268,-4934.906485271348,9598.421261622376
cell_1468,1290.6454950148786,14512.171889692592
cell_2334,1397.639009073458,14068.85076807079
cell_2372,-1707.0160532625666,-40087.33118447847
cell_2552,821.1192395385749,-39566.44316716094
cell_2446,762.3254874425247,14585.566345060834
cell_2519,1156.8022374566415,14282.949928520233
cell_1684,1861.757737930116,9377.549241092638
cell_1,-5949.2811471584755,11900.468810210976
cell_1698,1898.92813535755,12722.493093708828
cell_264,-5798.896406042238,11210.765447788344
cell_1544,1314.0860675635624,13301.373370141322
cell_1729,456.5979340486237,14464.651703138436
cell_226,-1081.1587522500702,7986.807093943131
cell_1460,2027.4212730353265,13986.043877379208
cell_289,-5052.787730956466,11716.010695728142
cell_1911,1235.3057393665147,12993.2103702759
cell_347,321.4382123044216,-40767.44345202708
cell_1951,-598.1520714412732,12534.951755383285
cell_159,-338.7431181886285,-38977.45162611457
cell_188,-6032.043872847108,12123.767689155986
cell_1819,1479.3963837672761,14106.800657357731
cell_2387,928.2035184660868,13480.522547282093
cell_1896,-85.11211904977355,14414.938469711824
cell_2138,1933.3909831915594,14240.939998405547
cell_233,-5559.619953126521,11679.764490509966
cell_2300,5.689239503251082,14584.109735337512
cell_1572,2805.0409689157896,-40141.45912112709
cell_2249,-1041.2739647745207,12938.688900576988
cell_1556,-2410.803132781351,-32498.892676614538
cell_1488,1358.363101546226,13505.241266507961
cell_1631,1380.5804879357572,14239.405909259598
cell_1705,2128.866890450334,13173.035983688776
cell_2092,345.29230790418643,13856.421565476412
cell_2657,2049.5811075203133,14250.479752609346
cell_1609,2208.5289441133373,11717.457983089029
cell_276,1007.9634633167835,7749.750128105455
cell_2557,2716.657951329221,8813.845240664583
cell_2254,3338.095704879116,8531.156129687688
cell_318,-4648.755780681961,11988.437549367969
cell_11,-6235.527446790756,11806.23010165291
cell_2577,-161.3007634879534,-37027.62850295689
cell_2027,1682.678196634003,11269.251063129532
cell_104,-4146.639678714934,9060.10934901656
cell_2430,410.2689475149527,12249.25806546936
cell_1757,1019.7388430169701,13696.233182480466
cell_2316,2756.3487008558136,10177.138649842895
cell_29,-5304.46706469746,11342.302554885791
cell_1968,2847.4033609121007,9515.532315450218
cell_2212,-527.0728324031184,13599.447628517577
cell_74,-4354.346442192012,9049.040784323566
cell_1963,1272.4596186687054,11613.327814749375
cell_2435,1938.141225906892,14074.549901091452
cell_2179,1154.8410954408596,14027.593949232383
cell_35,1622.9660300093954,5598.422905303793
cell_1745,-3693.127373135388,-28429.14585459478
cell_2061,1821.3511694828096,8163.321393286851
cell_1709,1621.0682880638758,14326.9831156356
cell_1898,3433.235623756777,6510.364184821734
