Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005515~protein binding	301	32.78867102396514	2.5440633480187823E-27	EIF4A1, SPARC, PKD2L1, UBE2L6, IFIT3, SOX2, RPS6KA4, RNF115, LGALS1, STMN1, FBXO4, TRIM27, PDK2, IER3, ACVR1, EPHA4, PRKCI, RSAD2, IL1R1, EBF1, KRT7, FRS2, CSNK1E, RC3H2, CLDN4, CDC34, RABL2, STX1A, GRB7, SLC45A2, NLRX1, SDC4, PRDM14, PRDM13, OAZ1, PCDH18, EPB41L1, PCBP1, TSPAN4, HIVEP1, STXBP5, APOE, PPARGC1A, RAB11FIP3, PLK4, CDT1, H2-EB1, GSTM1, JUND, DTNA, DTNB, BCL11A, GTF2IRD2, PARVA, DLX6OS1, VASN, UCK2, ARL2BP, FXYD3, GKAP1, ID2, PKIA, ID3, PSMG4, CALM1, ITM2B, TOP2A, PHF2, NRP2, SUV39H1, ENO1B, ICA1, CTCF, VLDLR, SPPL3, ING4, HINT1, TEAD1, TEAD2, APOBEC1, EDARADD, NCOA2, FCER1G, TSC22D1, NCOA3, PGAM2, PRMT3, TERF1, RHOD, CBFA2T3, DUSP6, IL17RA, VAMP8, CNKSR2, TOX3, RAP2A, INF2, MTF2, PELI1, TAX1BP1, PLIN3, CDC42EP1, CD44, AP5Z1, PTGER3, HOXD10, SLC7A1, GNAI1, DRP2, OS9, FRZB, GSC, PDPN, RICTOR, CKB, STX3, PAK3, BID, EXOSC1, CAR2, GABBR1, CRYBB1, MBD2, NPM3, WDR12, PPP1CA, MYBBP1A, ABI3, TTC3, MIXL1, RAB9B, TJP3, FOXA2, SPSB4, KLB, RASL11B, UBE2D1, KNDC1, NR3C1, HOXA11, ACTG1, PPP1CB, SYDE1, CCND3, SALL1, BMPER, BASP1, CDH1, KPNA2, CAR4, PLS1, HMGN1, TPD52, SPINK2, IGFBP4, SLC30A2, FBXO15, CNPY2, TSC1, FRMD4B, ATP1B1, POU3F2, RSBN1, RAB32, MYCL, MYCN, NAIP6, PPIF, FSCN1, NHP2, AMPH, PKP3, IL6ST, KPNB1, DLX1, KMT2D, FAM114A1, FECH, INSIG1, RHOBTB3, FOXO4, LPP, FBLN2, NALCN, GTF2E2, RTN4, ENHO, SOCS2, STK31, CCNB2, SOCS3, SYCE1, UBB, UBC, MED31, SMYD2, EIF4EBP1, BMF, OTX2, OTX1, FGF23, MOAP1, CBX7, HSPA5, HSPA4, NFKB1, REEP1, SEM1, NR4A1, RCAN1, ARHGAP31, COPS6, FER, CNOT7, DAB1, P4HA2, PRPH2, UQCRQ, CDK4, BHLHE40, BCL2, GNAS, TCF3, GCLM, BMPR1A, YWHAE, BMPR2, FLT1, ITGB4, SCHIP1, SLC2A1, PIK3CD, YBX3, PPP1R9B, SGCE, FLCN, DNMT3L, CASP8, ADAMTS1, MDK, EMILIN1, LRRFIP2, LRRFIP1, HORMAD1, YAF2, YWHAG, RUBCN, CFAP52, ITGA3, AXIN1, IQCE, IRAK4, UTF1, TNFRSF1A, TGFBR3, TBC1D1, ARHGAP10, DNAJC2, TRAF3, HAND1, SMCR8, ITGB1BP2, PLEC, STOML3, LAMA1, ZBTB46, TEX101, SLC3A2, RNF7, LRP2, COCH, OC90, CYTH2, CCDC85B, HES1, SLIT2, E2F5, PCDH1, SH2B3, MTA3, SNCA, SMARCE1, TRIM41, CCK, NYX, KLF4, TBX3, RPGRIP1, CD2, FMNL3, CD24A, MEIS1, TSPAN13, USH1G, SYT11, RAB15, CTH, CFAP36, RGS12, THRSP, TAF4	875	5577	29110	1.7955603370987985	2.826454379648867E-24	2.826454379648867E-24	2.7882934294285854E-24
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	299	32.570806100217865	1.655419805637346E-17	EIF4A1, JRK, SLC46A1, SPARC, STMN4, IFI35, IFIT3, CMAH, SOX2, RPS6KA4, SAMD14, RNF115, RPL18A, WDR90, STMN1, FBXO4, HABP4, TRIM27, RPS11, SCAPER, IER2, EPHA4, PRKCI, DAPK2, KRT7, FRS2, CSNK1E, RNF123, CDC34, BOLA2, ACOT1, TTLL11, RABL2, LAP3, SPATA18, CCNO, NECAB2, SHMT1, CEP85L, ATXN7L3B, OAZ1, RNF213, PCBP1, ZFP185, STXBP5, KCNN3, PLK4, SMCP, GSTM1, DTNA, DTNB, BCL11A, KLHDC8B, PTK6, PARVA, RNASE12, BST2, UCK2, HAL, ARL2BP, ID2, PKIA, ID3, CALM1, PKIG, TOP2A, LRRC34, GDI1, MTMR12, MTMR11, ENO1B, QPRT, ICA1, SMG6, UCHL1, HINT1, AIFM3, PP2D1, HINT2, ACADL, SLC22A18, EFCAB2, 4833439L19RIK, APOBEC1, EDARADD, NCOA2, CDV3, TSC22D1, GSTO1, NCOA3, PRMT3, SLC39A11, TYK2, TERF1, DUSP6, VAMP8, CNKSR2, MMP14, COL2A1, PSMA4, NME7, MTF2, CDC42EP1, KIZ, RAMP2, RPL10, AP5Z1, AXDND1, ASCL2, OAS1F, GNAI1, PSMB2, PNMA1, FRZB, RPL13, RPS2, FLNC, PAK3, BID, RNF130, EXOSC1, CAR3, CAR2, GABBR1, MBD2, NPM3, PRSS33, PPP1CA, CYP2C68, ZNFX1, MYBBP1A, TAOK3, ABI3, TTC3, CENPM, ETFBKMT, LIMS2, FOXA2, UBE2D1, HIKESHI, NR3C1, KLHL30, ACTG1, PPP1CB, FGF5, CCND3, SALL1, FGF8, BASP1, CDH1, MAP3K8, KPNA2, HMGN2, TGM4, TMSB10, PLS1, HMGN1, TPD52, SPINK2, TPM4, SLC30A2, ANGEL2, ANXA11, ALG13, OCRL, FRMD4A, TSC1, TNNI3K, FRMD4B, KLHL42, MOB3C, EIF4E1B, DGKQ, PPIF, FSCN1, AMPH, PKP3, FKBP6, KPNB1, CALCA, CEMIP, RHOBTB3, GSTT1, FOXO4, NDRG1, AK8, SLC9A1, SOCS2, STK31, CCNB2, ARHGAP21, MYG1, UBB, BTBD1, UBC, SMYD2, EIF4EBP1, BMF, OTX2, LONRF1, MARK4, FGF23, FGF21, MOAP1, HSPA5, HSPA4, DSTN, KLHL22, MT2, MT1, NFKB1, KLHL20, REEP1, RCAN1, COPS6, FER, CNOT7, DAB1, CDK4, BHLHE40, BCL2, GNAS, TCF3, ZCCHC2, YWHAE, PPP1R13B, SCHIP1, SLC2A1, PIK3CD, HMGB3, YBX3, ADRA1A, PPP1R9B, RPS4X, FLCN, DNMT3L, CASP8, LRRFIP1, HORMAD1, ACP1, TSHB, YWHAG, ARHGEF16, AXIN1, IRAK4, TGFBR3, DNAJC2, ARL4A, TBC1D2, TRAF3, TMEM216, HAND1, SMCR8, SPEM1, PPP1R12B, PFDN4, LTF, PLEC, SMPX, PRCD, RPL36A, TULP4, MOSPD1, TULP2, GLRX, RNF7, CYTH2, GNA15, CCDC85B, DDT, NNAT, UBQLN1, LRRC8D, SPOCK1, LRRC8A, HES1, WHAMM, SLIT2, E2F5, MTA3, SNCA, TRIM41, TPBG, KLF4, FMNL3, SNRK, MARCKS, USH1G, SYT11, RAB15, CTH, IMPDH2, CFAP36, RGS12, GALM, RHEBL1, PPP1R14D, MYO1F, KCNK4	895	6404	29926	1.5611531200820714	1.0677457746360882E-14	1.0677457746360882E-14	1.0313265389120666E-14
GOTERM_CC_DIRECT	GO:0005829~cytosol	227	24.727668845315904	1.7790709995846607E-16	EIF4A1, PKD2L1, IFI35, IFIT3, SOX2, RPS6KA4, PSMD8, RNF115, LGALS1, RPL18A, TFG, RPL36AL, STMN1, HABP4, TRIM27, RPS11, SCAPER, PDK2, PRKCI, KRT7, FRS2, CSNK1E, RNF123, RNF125, CDC34, BOLA2, HSBP1L1, ACOT1, ACOT5, ALDH7A1, SPIN2D, GRB7, CASZ1, SHMT1, RNF213, RNF216, EPB41L1, PCBP1, HIVEP1, STXBP5, APOE, PPARGC1A, PLK4, GSTM1, WDR59, MTHFR, LARP7, KLHDC8B, PTK6, PARVA, MAGOHB, ARL2BP, ID2, ZFAT, NDUFAF4, CALM1, GDI1, GPAA1, ENO1B, HEXA, ICA1, SHB, SMG6, THTPA, ING4, UCHL1, HINT1, AIFM3, CNTRL, TK1, TEAD2, CDV3, TSC22D1, GSTO1, NCOA3, PABPC5, PGAM2, PRMT3, TYK2, RHOD, DUSP6, DNAH7B, VAMP8, TOX3, ZEB2, RAP2A, MMP14, PSMA4, HEATR5A, PLIN3, CD44, RPL10, NIP7, HOXD10, OAS1F, GNAI1, DRP2, SLX4, PSMB2, TCOF1, PDPN, RPL13, RPS2, FLNC, CKB, PAK3, BID, EXOSC1, CAR3, CAR2, MBD2, NPM3, PPP1CA, GSTA1, TTC3, RAB9B, TJP3, LAMTOR5, SPSB4, HIKESHI, COMT, NR3C1, CMIP, ACTG1, PPP1CB, SYDE1, UROD, MAP3K8, KPNA2, PLS1, ACOT13, KCTD1, ANXA11, TSC1, TRNT1, PDIA6, DGKQ, FSCN1, STEAP2, FKBP6, KPNB1, DLX1, FAM114A1, RHOBTB3, GSTT1, RASAL1, FOXO4, RASGRP2, NDRG1, LPP, GTF2E2, AK8, CCNB2, SOCS3, UBB, BTBD1, UBC, SMYD2, EIF4EBP1, MARK4, FGF21, MOAP1, CBX7, HSPA5, HSPA4, KLHL22, MT2, MT1, NFKB1, KLHL20, GGCT, NR4A1, FER, CNOT7, TFCP2, P4HA2, CDK4, BCL2, GNAS, SPIRE2, CRYL1, TCF3, YWHAE, PPP1R13B, SLC2A1, PIK3CD, YBX3, ADRA1A, RND1, RPS4X, FLCN, CASP8, GM2A, LRRFIP1, ACP1, YAF2, YWHAG, RUBCN, VPS13C, PDE4C, APOA2, AXIN1, SORD, TBC1D1, ARHGAP10, DNAJC2, ARL4A, TBC1D2, IRF2, PLEC, RPL36A, RNF7, UBQLN1, WHAMM, SNCA, KLF4, FMNL3, TSPAN15, USH1G, APOC2, CTH, IMPDH2, KLF9, RGS12, THRSP, TAF4, MYO1F	895	4458	29926	1.7025952966357638	1.432187701766452E-13	5.737503973660531E-14	5.541806163706218E-14
GOTERM_CC_DIRECT	GO:0005634~nucleus	275	29.956427015250547	1.2014525206751032E-14	JRK, FOXI3, UBE2L6, IFI35, CMAH, SOX2, RPS6KA4, PSMD8, SOX3, RNF115, RPL36AL, HABP4, BBX, TRIM27, SCAPER, IER2, IER3, PRKCI, SP110, DAPK2, ZFP977, EBF1, CSNK1E, CDC34, SARNP, BOLA2, HSBP1L1, ALDH7A1, CCNO, TSPYL4, ASF1A, L3MBTL1, MEG3, CASZ1, SHMT1, PRDM14, PRDM13, OAZ1, NUGGC, T, RNF216, RACGAP1, ZFP180, PCBP1, HIVEP1, PPARGC1A, ZFP981, PLK4, CDT1, JUND, DTNB, H3F3B, BCL11A, GTF2IRD2, SNAI3, H3F3A, LARP7, PTK6, PARVA, RNASE12, MAGOHB, DLX6OS1, FOSL2, ARL2BP, ID2, ZFAT, PKIA, ID3, FBXL5, PKIG, ZFP750, TOP2A, MESP1, SUV39H1, HOXC13, CTCF, SMG6, ING4, ING2, HINT1, PP2D1, CNTRL, TK1, TEAD1, TEAD2, APOBEC1, NCOA2, TSC22D1, NCOA3, PABPC5, PRMT3, SLC39A11, TYK2, ZFP936, TERF1, CBFA2T3, TOX3, ZEB2, TOX2, MMP14, PSMA4, NME7, MTF2, PELI1, RPL10, AP5Z1, ZFP943, HOXD10, ASCL2, OAS1F, GNAI1, FSTL3, PSMB2, GBX1, UBN2, GSC, ZSWIM7, EXOSC1, CENPW, MBD2, NPM3, WDR12, PPP1CA, ZNFX1, MYBBP1A, TTC3, TRMT6, CENPM, EU599041, SPC24, MIXL1, TJP3, FOXA2, ZFP28, NAB1, ZFP449, UBE2D1, HIKESHI, NR3C1, HOXA11, ACTG1, PPP1CB, CCND3, SALL1, SALL2, BASP1, KMT5B, KPNA2, HMGN2, HMGN1, ZFP579, ANKRD49, ZGRF1, GM14412, ZBTB32, ACOT13, KCTD1, ANXA11, OCRL, TSC1, TNNI3K, TRNT1, POU3F1, POU3F2, RSBN1, MYCL, MOB3C, MYCN, MSH4, DGKQ, GM14418, PKP3, KPNB1, DLX1, KMT2D, KLHL15, GSTT1, ZFP61, FOXO4, HIGD1A, NDRG1, LPP, GLIS1, CCNB2, MYG1, UBB, UBC, MED31, SMYD2, EIF4EBP1, CAMTA2, OTX2, OTX1, MOAP1, CBX7, ZFP235, HSPA5, HSPA4, CHCHD10, KLHL22, MT2, FOXN3, MT1, NFKB1, NR4A1, LSM8, RCAN1, H1F0, COPS6, FER, UBOX5, CNOT7, TFCP2, CDK4, BHLHE40, BCL2, GNAS, SP5, TCF3, YWHAE, PLEKHF1, FLT1, PPP1R13B, ONECUT2, HMGB3, YBX3, ADRA1A, FLCN, DNMT3L, CASP8, LRRFIP1, HORMAD1, YAF2, YWHAG, PDE4C, CTDSPL, AXIN1, IRAK4, ETV4, UTF1, TBC1D1, DNAJC2, ARL4A, ESRP1, HAND1, IRF2, PFDN4, SAXO2, SMPX, POLDIP3, ZBTB46, MOSPD1, GLRX, RNF7, CCDC85B, POLR2F, HES1, POLR2H, E2F5, MTA3, SNCA, SMARCE1, ARID3B, KLF4, U2SURP, TBX3, SNRK, MEIS1, IMPDH2, KLF9, CFAP36, RGS12, THRSP, TAF4, RBMX	895	5988	29926	1.535594466400212	7.73381358953884E-12	2.583122919451472E-12	2.495016401268631E-12
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	171	18.627450980392158	2.5131662532902697E-9	SPPL2B, GPATCH4, HIKESHI, IFI35, NR3C1, CMIP, HOXA11, RPS6KA4, PPP1CB, SOX2, SOX3, CCND3, SALL1, UROD, KMT5B, TRIM27, KPNA2, SCAPER, IER2, PDK2, HMGN1, SP110, GM14412, EBF1, ZBTB32, MRPS18B, KCTD1, ANXA11, CSNK1E, POU3F1, POU3F2, MYCL, MYCN, MSH4, PKP3, FKBP6, KPNB1, ASF1A, DAP3, SPIN2D, ABCG2, L3MBTL1, DLX1, KMT2D, CASZ1, FAM114A1, SHMT1, PRDM14, FOXO4, HIGD1A, GTF2E2, SLC9A1, SYCE1, MYG1, RACGAP1, RNF216, UBB, BTBD1, PCBP1, UBC, MED31, HIVEP1, OTX2, PPARGC1A, RAB11FIP3, CDT1, CBX7, JUND, DTNA, H3F3B, BCL11A, H3F3A, LARP7, PTK6, RNASE12, NFKB1, FOSL2, NR4A1, COPS6, UBOX5, H1F0, TFCP2, ARL2BP, P4HA2, CDK4, BHLHE40, TCF3, CALM1, TOP2A, MESP1, PHF2, BMPR2, PPP1R13B, ONECUT2, FASTKD3, SUV39H1, CTCF, SHB, ADRA1A, PPP1R9B, ING4, ING2, HINT1, DNMT3L, UCHL1, CASP8, PHACTR3, TEAD1, YAF2, TEAD2, NCOA2, RUBCN, NCOA3, ABCC6, TERF1, CBFA2T3, DUSP6, TOX3, ZEB2, TOX2, ARL4A, TBC1D2, PSMA4, ESRP1, HAND1, MTF2, IRF2, SMCR8, AP5Z1, NIP7, SLC3A2, RNF7, HOXD10, OAS1F, GNAI1, FSTL3, SLX4, PSMB2, TCOF1, UBN2, GSC, UBQLN1, POLR2F, HES1, RPS2, POLR2H, PCDH1, E2F5, MTA3, SMARCE1, CENPW, MBD2, ARID3B, WDR12, KLF4, NPM3, GM17067, U2SURP, PPP1CA, CD2, MEIS1, TTC3, KLF9, RGS12, THRSP, TAF4, SPC24, MIXL1, TJP3, FOXA2, ZFP28	895	3665	29926	1.5600832272668377	1.6209909070585837E-6	4.0524805834305597E-7	3.914256439499595E-7
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription by RNA polymerase II	88	9.586056644880173	1.0844286819162564E-7	MESP1, PHF2, ONECUT2, FOXI3, ZFP449, HMGB3, HOXC13, CTCF, NR3C1, HOXA11, ACTG1, SOX2, PPP1CB, SALL1, SALL2, BBX, LRRFIP1, HMGN2, TEAD1, TEAD2, HMGN1, ZFP579, TSC22D1, SP110, GM14412, EBF1, CTDSPL, POU3F1, POU3F2, ETV4, DUSP6, MYCL, TOX3, ZEB2, TOX2, MYCN, DGKQ, HAND1, IRF2, GM14418, PPIF, FKBP9, L3MBTL1, DLX1, ZBTB46, ZFP943, PRDM14, FOXO4, ASCL2, HOXD10, GLIS1, FSTL3, GBX1, ZFP180, GSC, MED31, HIVEP1, CAMTA2, HES1, OTX2, OTX1, E2F5, ZFP981, SMARCE1, JUND, BCL11A, SNAI3, ARID3B, RNASE12, KLF4, TBX3, NFKB1, FOSL2, PPP1CA, NR4A1, MEIS1, TFCP2, ID2, BHLHE40, KLF9, GNAS, SP5, TCF3, TAF4, ZFP750, MIXL1, FOXA2, ZFP28	887	1632	29775	1.81005040122024	4.1026365451446445E-4	4.103478132371114E-4	4.065523128504045E-4
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	105	11.437908496732026	1.886701708656674E-7	PKD2L1, IFI35, NR3C1, IFIT3, ACTG1, LGALS1, TFG, CDH1, TRIM27, TMEM38B, PDK2, PDK1, TPD52, EPHA4, CASR, TPM4, SLC30A2, DAPK2, KCTD1, MCEMP1, POU3F2, CLDN4, SOAT1, SPATA18, IL6ST, ALDH7A1, FKBP6, STX1A, ABCG2, L3MBTL1, NECAB2, GRB7, CALCA, FECH, SDC4, BRI3, SHMT1, FOXO4, SDSL, SLC9A1, BTBD1, APOE, RAB11FIP3, PLK4, ZRSR2, GSTM1, PTK6, NFKB1, BST2, NR4A1, RCAN1, UCK2, GKAP1, BCL2, MKRN3, ALDH18A1, TCF3, YWHAE, NRP2, FLT1, SCHIP1, ENO1B, QPRT, SLC2A1, DBI, MYOM3, CASP8, ACADL, EMILIN1, TK1, YWHAG, CTSB, FCER1G, TSC22D1, PGAM2, SORD, AXIN1, TERF1, CNKSR2, COL2A1, TRAF3, HAND1, PLEC, HSD17B10, UBQLN1, HES1, LRRC8A, SLIT2, FLNC, SNCA, TRIM41, MBD2, CD2, MARCKS, USH1G, ABI3, SYT11, APOC2, CTH, IMPDH2, THRSP, RBMX, MIXL1, RAB9B, KCNK4	875	2076	29110	1.6826589595375723	2.0959061237280086E-4	1.0480627991587824E-4	1.0339125363438574E-4
GOTERM_CC_DIRECT	GO:0009986~cell surface	54	5.88235294117647	2.5611220902334285E-7	BMPR2, SPARC, ITGB4, ENO1B, PKD2L1, VLDLR, PCSK6, SLC6A2, THBD, LGALS1, CDH1, CAR4, CTSB, EPHA4, EGFL7, CASR, FCER1G, KRT4, ITGA3, IL1R1, F2R, IRAK4, RC3H2, TNFRSF1A, VAMP8, TGFBR3, ROR1, CD44, LTF, RAMP2, SDC4, PTGER3, TEX101, SLC3A2, LRP2, SLC9A1, OTOA, CD59B, TSPAN8, LMAN2, LRRC8A, APOE, SLIT2, H2-EB1, HSPA5, VASN, CD55B, DCBLD2, BST2, CD2, TSPAN15, CD24A, TJP3, BMPR1A	895	834	29926	2.1649772919094894	1.6517875244381752E-4	3.303847496401123E-5	3.1911581244308516E-5
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	72	7.8431372549019605	4.1068845513631215E-7	TOP2A, MESP1, EIF4A1, BMPR2, ONECUT2, HOXC13, CTCF, NR3C1, RPS6KA4, SOX2, SOX3, SALL1, SALL2, TEAD1, TEAD2, IER2, ACVR1, NCOA2, TSC22D1, NCOA3, NOG, EBF1, IQCE, POU3F1, UTF1, POU3F2, ETV4, TNFRSF1A, TOX3, ZEB2, TOX2, MYCN, HAND1, IRF2, DLX1, KMT2D, CASZ1, MOSPD1, FOXO4, ASCL2, HOXD10, GLIS1, SLC9A1, FSTL3, GALR2, PCBP1, HIVEP1, CAMTA2, HES1, OTX2, OTX1, PPARGC1A, JUND, ARID3B, KLF4, TBX3, DLX6OS1, NFKB1, FOSL2, NR4A1, MEIS1, CNOT7, TFCP2, MYBBP1A, ZFAT, KLF9, TCF3, ZFP750, RBMX, MIXL1, BMPR1A, FOXA2	887	1282	29775	1.885265940513607	0.0015528385300063174	5.286680429689029E-4	5.237781429942962E-4
GOTERM_BP_DIRECT	GO:0045893~positive regulation of DNA-templated transcription	51	5.555555555555555	4.191342835377137E-7	MESP1, PHF2, HOXC13, CTCF, HOXA11, ACTG1, SOX2, ING4, ING2, SALL1, CDH1, MDK, TRIM27, TEAD1, YAF2, TEAD2, ACVR1, ANKRD49, F2R, EBF1, POU3F1, ETV4, DNAJC2, TOX3, MYCN, IFNAR1, CASZ1, FOXO4, GLIS1, T, HES1, OTX2, APOE, E2F5, MTA3, FGF23, PPARGC1A, MBD2, RNASE12, KLF4, TBX3, NFKB1, FOSL2, NR4A1, TFCP2, ARL2BP, ID2, TCF3, TAF4, RBMX, FOXA2	887	783	29775	2.186434967409193	0.0015847474207175694	5.286680429689029E-4	5.237781429942962E-4
