Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005634~nucleus	121	38.291139240506325	5.099835975969454E-15	CMAS, GTF2B, GPATCH2, HIKESHI, NUCKS1, CCAR2, CDC14B, NFU1, NPEPPS, CCND2, PIP4K2A, HMGN2, VPS36, PRKCB, USP3, CIRBP, LIG4, SETMAR, ZFP617, MED4, GTF2F2, THOC7, FANCD2, SUB1, GEMIN5, PLATR11, RHNO1, RNASEH2C, MAX, EIF5A2, SNU13, ZFP507, NRADD, OAZ1, RAD51AP1, STRIP1, PCBP4, SWI5, SMYD2, RREB1, SERF2, JUN, ZFP638, DHCR24, SMAD5, PBX1, LSM2, LSM8, PPP5C, CNOT7, RFXAP, SNAI1, INTS7, SERGEF, PKIG, FGFR1, DCP1B, RAD9A, FLT1, MCM9, CELF2, ZFP81, SNX10, BMYC, CTCF, ING4, HINT1, ZFP74, ZMYM5, ENOPH1, YAF2, ZFP810, CNOT6L, SYK, AKTIP, MSL2, DDX51, TFIP11, CCDC117, TERF1, KLF15, TERF2, QTRT1, PHF20L1, TRAF4, SETBP1, TET3, WAC, SDE2, KXD1, MAGEH1, SMARCD2, AU041133, MYCBP, BRAT1, LEF1, GNAI1, POLR2A, PSMB2, SH3BP1, UBN2, TGS1, NRIP1, HSF1, SAP18, ZFP420, ZFP661, RNF20, ZFP952, WTAP, CNBP, TAF11, BLCAP, MEIS2, RAD50, PER3, NFIC, TSR2, TAF5, LPIN3, GZF1	306	5988	29926	1.976199676040534	2.1296298058359753E-12	2.126631601979262E-12	2.0858329141715065E-12
GOTERM_CC_DIRECT	GO:0005829~cytosol	93	29.430379746835445	7.800298653004728E-12	SCOC, DOCK4, ZFP687, RTKN, TES, HIKESHI, LRRC1, NFU1, CDC20, ING4, NPEPPS, HINT1, UCHL1, MAP1LC3B, CCND2, DPYSL5, CAR13, PIP4K2A, VCPKMT, RIOK1, VPS36, TNS3, YAF2, PDK2, XYLB, PLS1, VPS9D1, CNOT6L, SYK, PRKCB, SCRIB, ARAP1, THOC7, TOM1L1, TRAF4, SAPCD2, SETBP1, FANCD2, RPL7L1, SDE2, GEMIN5, KXD1, STX5A, CHST2, ABCB6, EI24, VPS26B, NT5C2, RASGRP2, SPATA7, GNAI1, RAP1B, STRIP1, ABR, SH3BGRL, SH3BP1, KIF3B, PSMB2, BTBD1, PCBP4, HLCS, TGS1, HSF1, NRIP1, SMYD2, SAP18, RAB6A, PAK3, HMGCLL1, SERF2, SASH1, JUN, CNBP, GSR, PYM1, SMAD5, GNMT, TNRC6C, CCDC88A, PPP5C, CNOT7, GNL3L, NDUFAF4, CAPRIN2, SNAI1, SNRNP48, TRIM37, PLCH1, CEP85, SERGEF, LRCH3, DCP1B, FGFR1	306	4458	29926	2.040187721566868	3.252731750613691E-9	1.3509234341337186E-9	1.325006437795422E-9
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	118	37.34177215189873	9.718873626861285E-12	CEP126, TES, TPMT, UXS1, CPNE6, HIKESHI, NUCKS1, CCAR2, CDC14B, NPEPPS, LSM12, CCND2, CDH1, DPYSL5, CAR13, TNS4, HMGN2, TNS3, PLS1, TPM4, PRKCB, USP3, CIRBP, SCRIB, THOC7, TOM1L1, AKAP9, GEMIN5, CARS2, SMYD5, ATXN7L3B, SLAIN1, MTMR4, OAZ1, SKA1, STRIP1, BLOC1S6, KIF3B, BTBD1, HLCS, PCBP4, SMYD2, HOMER1, PYM1, DSTN, DHCR24, SMAD5, PBX1, LSM2, CCDC88A, FGF15, CNOT7, CAPRIN2, SNAI1, INTS7, PLCH1, SERGEF, PKIG, AVL9, LRCH3, RAD9A, DOCK4, ZMYND19, MAST4, CELF2, GPT, LRRC1, PCMTD2, HINT1, UCHL1, MLST8, VCPKMT, ENOPH1, RALGPS2, CNOT6L, SYK, TFIP11, CCDC117, ARAP1, TERF1, RNF144A, QTRT1, COL2A1, TRAF4, TET3, SDE2, EVL, EXOC1, MYCBP, BRAT1, LEF1, NT5C2, NKD1, GNAI1, GNA14, SH3BGRL, POLR2A, PSMB2, SH3BP1, FRZB, TGS1, HSF1, NNAT, SPP1, SAP18, PAK3, SASH1, WTAP, CNBP, GSR, KDF1, BLCAP, PER3, KIF26A, TRIM37, RHEBL1, GZF1, SNTB2	306	6404	29926	1.8020130392360985	4.052778113106115E-9	1.3509234341337186E-9	1.325006437795422E-9
GOTERM_MF_DIRECT	GO:0005515~protein binding	105	33.22784810126582	6.145434357785933E-11	RTKN, GTF2B, D16ERTD472E, CPNE6, EVX1OS, CCAR2, NFU1, CDC20, CCND2, CDH1, DPYSL5, CHORDC1, AP1S2, PIP4K2A, TNS3, PDK2, PLS1, PRKCB, LIG4, SCRIB, MED4, GTF2F2, THOC7, TOM1L1, STIM1, FANCD2, AKAP9, RPN2, MAX, SMYD5, NRADD, OAZ1, SPATA7, RAP1B, BLOC1S6, SYNGR2, KIF3B, SWI5, SMYD2, RAB6A, SLAMF1, JUN, HOMER1, FZD7, L1CAM, SMAD5, PBX1, LSM2, SEM1, CCDC88A, FGF15, PPP5C, CNOT7, SNAI1, TMEM119, FGFR1, DCP1B, RAD9A, FLT1, MCM9, CTCF, SYNE4, ING4, MAP1LC3B, HINT1, LRRFIP2, YAF2, RAB8B, DLGAP4, CNOT6L, SYK, RHBDF2, TFIP11, TERF1, KLF15, TERF2, QTRT1, TET3, KXD1, GAS1, EVL, WBP1, LEF1, NKD1, GNAI1, POLR2A, FRZB, TGS1, NRIP1, SAP18, STX3, PAK3, CLASP1, SASH1, RNF20, ATAD1, WTAP, TAF11, RAD50, TSPAN13, PER3, KIF26A, LAMTOR2, LGR4, SNTB2	297	5577	29110	1.8453315656112859	3.4230098644449924E-8	3.4230069372867644E-8	3.3308254219199757E-8
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	78	24.68354430379747	3.3272223547963953E-10	SCOC, ZFP687, CMAS, SPPL2B, GTF2B, CELF2, HIKESHI, NUCKS1, BMYC, CTCF, CCAR2, CDC14B, NFU1, CDC20, ING4, HINT1, UCHL1, CCND2, YAF2, PDK2, TSFM, PRKCB, USP3, CIRBP, LIG4, SCRIB, ARAP1, MED4, TERF1, GTF2F2, KLF15, TERF2, TRAF4, SAPCD2, SETBP1, FANCD2, SUB1, TET3, SDE2, WAC, GEMIN5, CHST2, SMARCD2, MYCBP, ABCB6, BRAT1, LEF1, GNAI1, POLR2A, PSMB2, BTBD1, UBN2, HSF1, NRIP1, SAP18, SASH1, RNF20, JUN, ZFP638, WTAP, TAF11, PYM1, SMAD5, PBX1, LSM2, TNRC6C, RAD50, GNL3L, NFIC, CAPRIN2, SNAI1, SNRNP48, TAF5, SERGEF, RSL24D1, GZF1, RAD9A, SNTB2	306	3665	29926	2.0813631864751354	1.3874514082079514E-7	3.468629304875242E-8	3.4020848577793144E-8
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	125	39.55696202531646	2.766345285043956E-8	CEP126, SCOC, PLVAP, ZFP687, TES, TPMT, CPNE6, HIKESHI, CCAR2, NFU1, CDC20, NPEPPS, LSM12, CCND2, CDH1, DPYSL5, PIP4K2A, TNS4, HMGN2, VPS36, PLS1, TPM4, PRKCB, USP3, CIRBP, SCRIB, THOC7, TOM1L1, STIM1, AKAP9, GEMIN5, EIF5A2, ATXN7L3B, SLAIN1, VPS26B, RASGRP2, SKA1, SPATA7, RAP1B, STRIP1, BLOC1S6, KIF3B, BTBD1, HLCS, PCBP4, SMYD2, HMGCLL1, HOMER1, PYM1, SMAD5, CCDC88A, PPP5C, CNOT7, CAPRIN2, SNAI1, TMEM119, INTS7, PLCH1, CEP85, SERGEF, LRCH3, FGFR1, DCP1B, DOCK4, ZMYND19, MAST4, CELF2, SNX10, GPT, LRRC1, PCMTD2, MAP1LC3B, HINT1, UCHL1, MLST8, VCPKMT, RIOK1, ENOPH1, RALGPS2, CNOT6L, SYK, AKTIP, TFIP11, CCDC117, ARAP1, TERF1, COPZ1, QTRT1, TRAF4, SAPCD2, TET3, SDE2, KXD1, EVL, EXOC1, MYCBP, EI24, BRAT1, NT5C2, NKD1, GNAI1, SH3BGRL, POLR2A, PSMB2, SH3BP1, TGS1, HSF1, SAP18, PAK3, CLASP1, SASH1, WTAP, CNBP, GSR, KDF1, BLCAP, MEIS2, GNMT, TPPP3, PER3, KIF26A, TRIM37, RHEBL1, GZF1, SNTB2	278	5424	18521	1.535359102098852	9.128935404278948E-7	9.128939440645055E-7	8.85230491214066E-7
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	120	37.9746835443038	2.6218060507699144E-7	ZFP687, CMAS, GTF2B, RPP30, GPATCH2, HIKESHI, NUCKS1, CCAR2, CDC14B, NPEPPS, CCND2, PIP4K2A, HMGN2, VPS36, PRKCB, USP3, CIRBP, LIG4, SETMAR, ZFP617, MED4, GTF2F2, THOC7, FAM118B, FANCD2, SUB1, GEMIN5, RHNO1, RNASEH2C, MAX, EIF5A2, SNU13, ZFP507, NRADD, RAD51AP1, SWI5, SMYD2, RREB1, JUN, ZFP638, PYM1, SMAD5, PBX1, LSM2, SEM1, LSM8, PPP5C, CNOT7, GNL3L, RFXAP, SNAI1, INTS7, CEP85, SERGEF, RSL24D1, FGFR1, DCP1B, RAD9A, INTS14, MCM9, CELF2, ZFP81, BMYC, CTCF, SYNE4, ING4, HINT1, ZFP74, ZMYM5, ENOPH1, YAF2, ZFP810, CNOT6L, MSL2, DDX51, TFIP11, CCDC117, TERF1, DDX50, KLF15, TERF2, QTRT1, PHF20L1, TRAF4, SETBP1, SAPCD2, TET3, WAC, SDE2, KXD1, SMARCD2, MYCBP, EI24, BRAT1, LEF1, GNAI1, POLR2A, PSMB2, SH3BP1, TGS1, NRIP1, HSF1, SAP18, ZFP420, ZFP661, RNF20, ZFP952, WTAP, CNBP, TAF11, BLCAP, MEIS2, RAD50, PER3, NFIC, SNRNP48, TAF5, YPEL3, LPIN3, GZF1	278	5324	18521	1.5016296504494375	8.651923674829476E-6	4.325979983770358E-6	4.194889681231863E-6
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	55	17.405063291139243	1.068234159769324E-6	PLEKHF2, ZFP687, FLT1, ZMYND19, CPNE6, ZFP81, CTCF, ING4, ZFP74, CHORDC1, RIOK1, TNS3, YAF2, ZFP810, CNOT6L, TPM4, MSL2, ZFP617, ARAP1, KLF15, PHF20L1, RNF144A, QTRT1, COL2A1, STIM1, CARS2, AU041133, SMYD5, ZFP507, NT5C2, MTMR4, GNA14, ZNHIT2, POLR2A, SMYD2, PAK3, RREB1, HMGCLL1, ZFP420, ZFP661, RNF20, GALNT7, ZFP952, SMAD5, RAD50, PPP5C, CNOT7, PDP2, CAPRIN2, SNAI1, SNRNP48, RHEBL1, YPEL3, GZF1, FGFR1	297	2697	29110	1.998791524190115	5.948297633997512E-4	2.9750321349575673E-4	2.894914572974868E-4
GOTERM_CC_DIRECT	GO:0005730~nucleolus	28	8.860759493670885	1.5414826013669157E-6	DOCK4, RPP30, GPATCH2, SNU13, NUCKS1, BMYC, CTCF, GNAI1, CDC14B, CCND2, TGS1, NRIP1, RNF20, PYM1, SETMAR, TFIP11, DDX51, TERF1, DDX50, GNL3L, SAPCD2, FANCD2, RPL7L1, SUB1, CEP85, RSL24D1, YPEL3, GZF1	306	940	29926	2.913113614240022	6.42592189340152E-4	1.2855964895400077E-4	1.260932767918137E-4
GOTERM_BP_DIRECT	GO:0045893~positive regulation of DNA-templated transcription	25	7.9113924050632916	1.9278756032186814E-6	MYCBP, MAX, LEF1, BMYC, CTCF, ING4, CDH1, SPP1, YAF2, RNF20, FZD1, JUN, PRKCB, FZD7, CNBP, MSL2, ARAP1, MED4, KLF15, NFIC, RFXAP, SNAI1, WAC, TRIM37, TAF5	304	783	29775	3.1272055858035896	0.003320064976282233	0.0033255854155522253	0.0033178739131393504
